BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,2161-8,Creatinine [Mass/volume] in Urine,Chem,Chem,161,mg/dL,mg/dL,,Creatinine,MCnc,Pt,Urine,Qn,,Urine,Creat UR,
,2218-6,Dopamine [Mass/time] in 24 hour Urine,Chem,Chem,1270,ug/(24.h),ug/24h,,Dopamine,MRat,24H,Urine,Qn,,Urine,,
,2217-8,Dopamine [Mass/volume] in Urine,Chem,Chem,1794,ug/L,ug/L,,Dopamine,MCnc,Pt,Urine,Qn,,Urine,,
,2232-7,Epinephrine [Mass/time] in 24 hour Urine,Chem,Chem,1240,ug/(24.h),ug/24h,,Epinephrine,MRat,24H,Urine,Qn,,Urine,,
,11046-0,Epinephrine [Mass/volume] in Urine,Chem,Chem,1795,pg/mL,pg/mL,,Epinephrine,MCnc,Pt,Urine,Qn,,Urine,,
,2272-3,Fat [Presence] in Urine,Chem,Chem,1965,,,,Fat,ACnc,Pt,Urine,Ord,,Urine,,
,2350-7,Glucose [Mass/volume] in Urine,Chem,Chem,1730,mg/dL,mg/dL,,Glucose,MCnc,Pt,Urine,Qn,,Urine,,
,2349-9,Glucose [Presence] in Urine,Chem,Chem,116,,,,Glucose,ACnc,Pt,Urine,Ord,,Urine,,
,33903-6,Ketones [Presence] in Urine,Chem,Chem,217,,,,Ketones,ACnc,Pt,Urine,Ord,,Urine,,
,19049-6,Metanephrine [Mass/time] in 24 hour Urine,Chem,Chem,1271,ug/(24.h),ug/24h,Metanephrine (singular) is not same as metanephrines (pleural).,Metanephrine,MRat,24H,Urine,Qn,,Urine,,
,2609-6,Metanephrines [Mass/time] in 24 hour Urine,Chem,Chem,1344,ug/(24.h),ug/24h,Metanephrines (pleural) = metanephrine (singular) + normetanephrine,Metanephrines,MRat,24H,Urine,Qn,,Urine,Metanephrine,
,19050-4,Metanephrines [Mass/volume] in 24 hour Urine,Chem,Chem,1678,ng/mL,,Metanephrines (pleural) = metanephrine (singular) + normetanephrine,Metanephrines,MCnc,24H,Urine,Qn,,Urine,Metanephrine,
"Microalbumin
Be aware that the routine albumin measure is insensitive to small amounts of albumin, and thus cannot detect the albumin leakage that is a sign of early damage in diabetics. This damage can be slowed or prevented if treated early; so for diabetics, the physician should order the test called micro-albumin, which is a more sensitive measure of urine albumin (detection limit of <= 20 micrograms/deciliter) that can detect such early damage. Also, some laboratories report the albumin excretion rate as both mg/(24.h) and ug/min in the same report. To accommodate this dual reporting, LOINC has made an exception to its usual rule about not creating different codes for terms with the same property of the 2nd part of the formal LOINC name just because they have different units of measure. We have provided different LOINC codes for those tests.",,,,,,,,,,,,,,,,,
,14956-7,Microalbumin [Mass/time] in 24 hour Urine,Chem,Chem,1294,mg/(24.h),mg/24h,,Albumin,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,30003-8,Microalbumin [Mass/volume] in 24 hour Urine,Chem,Chem,1973,mg/dL,mg/dL,,Albumin,MCnc,24H,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,14957-5,Microalbumin [Mass/volume] in Urine,Chem,Chem,175,mg/dL,mg/dL,,Albumin,MCnc,Pt,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,58448-2,Microalbumin ug/min [Mass/time] in 24 hour Urine,Chem,Chem,176,,,,Albumin ug/min,MRat,24H,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,14958-3,Microalbumin/Creatinine [Mass ratio] in 24 hour Urine,Chem,Chem,1979,mg/g{creat},mg/gcreat,,Albumin/Creatinine,MCrto,24H,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,14959-1,Microalbumin/Creatinine [Mass ratio] in Urine,Chem,Chem,212,mg/g{creat},mg/gcreat,,Albumin/Creatinine,MCrto,Pt,Urine,Qn,Detection limit <= 20 mg/L,Urine,Microalbumin UR,
,2640-1,Myoglobin [Presence] in Urine,Chem,Chem,1264,,,,Myoglobin,ACnc,Pt,Urine,Ord,,Urine,,
,2668-2,Norepinephrine [Mass/time] in 24 hour Urine,Chem,Chem,1257,ug/(24.h),ug/24h,,Norepinephrine,MRat,24H,Urine,Qn,,Urine,Norep UR,
,2667-4,Norepinephrine [Mass/volume] in Urine,Chem,Chem,1796,ug/mL,ug/mL,,Norepinephrine,MCnc,Pt,Urine,Qn,,Urine,Norep UR,
,2671-6,Normetanephrine [Mass/time] in 24 hour Urine,Chem,Chem,1186,ug/(24.h),ug/24h,,Normetanephrine,MRat,24H,Urine,Qn,,Urine,Normet UR,
,21422-1,Normetanephrine [Mass/volume] in 24 hour Urine,Chem,Chem,1700,ug/mL,ug/mL,,Normetanephrine,MCnc,24H,Urine,Qn,,Urine,Normet UR,
,2695-5,Osmolality of Urine,Chem,Chem,556,mosm/kg,mosm/kg,Measured osmolality,Osmolality,Osmol,Pt,Urine,Qn,,Urine,,
,2701-1,Oxalate [Mass/time] in 24 hour Urine,Chem,Chem,1653,mg/(24.h),mg/24h,,Oxalate,MRat,24H,Urine,Qn,,Urine,Oxalate UR,
,2700-3,Oxalate [Mass/volume] in Urine,Chem,Chem,1876,ug/mL,ug/mL,,Oxalate,MCnc,Pt,Urine,Qn,,Urine,Oxalate UR,
,14862-7,Oxalate [Moles/time] in 24 hour Urine,Chem,Chem,1660,umol/(24.h),umol/24h,,Oxalate,SRat,24H,Urine,Qn,,Urine,Oxalate UR,
,2756-5,pH of Urine,Chem,Chem,612,[pH],pH,,pH,LsCnc,Pt,Urine,Qn,,Urine,,
,2779-7,Phosphate [Mass/time] in 24 hour Urine,Chem,Chem,1478,mg/(24.h),mg/24h,,Phosphate,MRat,24H,Urine,Qn,,Urine,Phosphate,
,2778-9,Phosphate [Mass/volume] in Urine,Chem,Chem,1197,mg/dL,mg/dL,,Phosphate,MCnc,Pt,Urine,Qn,,Urine,Phosphate,
,2828-2,Potassium [Moles/volume] in Urine,Chem,Chem,493,mmol/L,mmol/L,,Potassium,SCnc,Pt,Urine,Qn,,Urine,,
,2889-4,Protein [Mass/time] in 24 hour Urine,Chem,Chem,487,g/(24.h),g/24h,,Protein,MRat,24H,Urine,Qn,,Urine,,
,21482-5,Protein [Mass/volume] in 24 hour Urine,Chem,Chem,1696,g/dL,g/dL,,Protein,MCnc,24H,Urine,Qn,,Urine,,
,35663-4,Protein [Mass/volume] in unspecified time Urine,UA,Chem,635,mg/dL,mg/dL,,Protein,MCnc,XXX,Urine,Qn,,Urine,,
,2888-6,Protein [Mass/volume] in Urine,UA,Chem,292,g/dL,g/dL,,Protein,MCnc,Pt,Urine,Qn,,Urine,,
,2890-2,Protein/Creatinine [Mass ratio] in Urine,Chem,Chem,509,mg/g{creat},mg/gcreat,,Protein/Creatinine,MCrto,Pt,Urine,Qn,,Urine,,
,2956-1,Sodium [Moles/time] in 24 hour Urine,Chem,Chem,1217,mmol/(24.h),mmol/24h,,Sodium,SRat,24H,Urine,Qn,,Urine,,
,21525-1,Sodium [Moles/volume] in 24 hour Urine,Chem,Chem,1451,mol/L,mol/L,,Sodium,SCnc,24H,Urine,Qn,,Urine,,
,35678-2,Sodium [Moles/volume] in unspecified time Urine,Chem,Chem,689,mmol/L,mmol/L,,Sodium,SCnc,XXX,Urine,Qn,,Urine,Sodium UR,
,2955-3,Sodium [Moles/volume] in Urine,Chem,Chem,412,mmol/L,mmol/L,,Sodium,SCnc,Pt,Urine,Qn,,Urine,Sodium UR,
,2965-2,Specific gravity of Urine,Chem,Chem,122,{ratio},ratio,,Specific gravity,Rden,Pt,Urine,Qn,,Urine,,
,3087-4,Urate [Mass/time] in 24 hour Urine,Chem,Chem,1295,g/(24.h),g/24h,,Urate,MRat,24H,Urine,Qn,,Urine,Urea UR,
,3086-6,Urate [Mass/volume] in Urine,Chem,Chem,1405,mg/dL,mg/dL,,Urate,MCnc,Pt,Urine,Qn,,Urine,Urea UR,
,3096-5,Urea nitrogen [Mass/time] in 24 hour Urine,Chem,Chem,1727,g/(24.h),g/24h,,Urea nitrogen,MRat,24H,Urine,Qn,,Urine,Urea UR,
,3095-7,Urea nitrogen [Mass/volume] in Urine,Chem,Chem,682,mg/dL,mg/dL,,Urea nitrogen,MCnc,Pt,Urine,Qn,,Urine,Urea UR,
,3107-0,Urobilinogen [Mass/volume] in Urine,Chem,Chem,107,mg/dL,mg/dL,,Urobilinogen,MCnc,Pt,Urine,Qn,,Urine,,
,3122-9,Vanillylmandelate [Mass/time] in 24 hour Urine,Chem,Chem,1351,mg/(24.h),mg/24h,"Note, VMA is no longer the analyte of choice for diagnosing pheochromocytoma",Vanillylmandelate,MRat,24H,Urine,Qn,,Urine,,
,9624-8,Vanillylmandelate [Mass/volume] in Urine,Chem,Chem,1837,,,"Note, VMA is no longer the analyte of choice for diagnosing pheochromocytoma",Vanillylmandelate,MCnc,Pt,Urine,Qn,,Urine,,
,3167-4,Volume of 24 hour Urine,SPEC,Chem,387,L,L,,Specimen volume,Vol,24H,Urine,Qn,,Urine,Chem,
,19153-6,Volume of unspecified time Urine,SPEC,Chem,793,mL,mL,,Specimen volume,Vol,XXX,Urine,Qn,,Urine,Chem,
,28009-9,Volume of Urine,SPEC,Chem,1602,mL,mL,,Specimen volume,Vol,Pt,Urine,Qn,,Urine,Chem,
,2164-2,Creatinine renal clearance in 24 hour Urine,Chem,Chem,586,mL/min,mL/min,,Creatinine renal clearance,VRat,24H,Urine+Ser/Plas,Qn,,Urine+Ser/Plas,Creat Clear,
,12195-4,Creatinine renal clearance/1.73 sq M in 24 hour Urine,Chem,Chem,1269,mL/min/{1.7},mL/min/17,,Creatinine renal clearance/1.73 sq M,ArVRat,24H,Urine+Ser/Plas,Qn,,Urine+Ser/Plas,Creat Clear,
Chem-Bld Gas,,,,,,,,,,,,,,,,,
"Notice that hemoglobin and a few other chemistries that are not strictly part of blood gas measures have distinct codes for blood arterial (BldA) and for blood venous (BldV) as well as just blood (Bld). These distinctions are a convenience for defining blood gas panels and showing the same specimen across all tests within the panel. Panels that mix classic blood gas measures like PO2 and PCO2 with routine chemistries like electrolytes and creatinine are increasingly common because such tests are available along with classic blood gas tests on point of care instruments used in the ICU.

For most of these there should be no significant difference in concentrations on the venous versus the arterial side.  For glucose, one report describes a 4% difference between venous and arterial samples, but the ISTAT manual reports the same expected range for the venous and arterial specimens for routine chemistries with the exception of the gases and lactate. There should be no difference in the concentration of hemoglobin in an arterial versus a venous blood sample, so we do not encourage this distinction.

If you use the specimen type Bld (not BldA or BldV) for blood gas reports, e.g. PO2, you must also include notation either in the specimen segment or in an additional LOINC variable to indicate whether the specimen is arterial or venous.",,,,,,,,,,,,,,,,,
,30318-0,Base deficit in Blood,Chem,Chem-Bld Gas,471,mmol/L,mmol/L,Rarely reported as such. The base excess says it all.,Base deficit,SCnc,Pt,Bld,Qn,,Bld,Bld Gas,
,11555-0,Base excess in Blood,Chem,Chem-Bld Gas,84,mmol/L,mmol/L,,Base excess,SCnc,Pt,Bld,Qn,,Bld,Bld Gas,
,34705-4,Carbon dioxide [Partial pressure] adjusted to patients actual temperature in Blood,Chem,Chem-Bld Gas,618,mm[Hg],mmHg,,Carbon dioxide^^adjusted to patients actual temperature,PPres,Pt,Bld,Qn,,Bld,Bld Gas,
,11557-6,Carbon dioxide [Partial pressure] in Blood,Chem,Chem-Bld Gas,86,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,Bld,Qn,,Bld,Bld Gas,
,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,Chem,Chem-Bld Gas,875,%,%,,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,Bld,Bld Gas,
,11559-2,Fractional oxyhemoglobin in Blood,Chem,Chem-Bld Gas,1808,%,%,Fractional oxygen saturation (HbO2),Oxyhemoglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,Bld,Bld Gas,
,2614-6,Methemoglobin/Hemoglobin.total in Blood,Chem,Chem-Bld Gas,820,%,%,,Methemoglobin/Hemoglobin.total,MFr,Pt,Bld,Qn,,Bld,Bld Gas,
,19254-2,Oxygen [Partial pressure] adjusted to patients actual temperature in Blood,Chem,Chem-Bld Gas,619,mm[Hg],mmHg,,Oxygen^^adjusted to patients actual temperature,PPres,Pt,Bld,Qn,,Bld,Bld Gas,
,11556-8,Oxygen [Partial pressure] in Blood,Chem,Chem-Bld Gas,87,mm[Hg],mmHg,,Oxygen,PPres,Pt,Bld,Qn,,Bld,Bld Gas,
,20564-1,Oxygen saturation in Blood,HEMODYN.MOLEC,Chem-Bld Gas,426,%,%,This functional oxygen saturation (SO2) term [LOINC: 20564-1] is a better measure than the calculated version [LOINC: 2713-6].,Oxygen saturation,MFr,Pt,Bld,Qn,,Bld,Bld Gas,
,2713-6,Oxygen saturation.calculated from oxygen partial pressure in Blood,Chem,Chem-Bld Gas,95,%,%,This (calculated) functional oxygen saturation (SO2) term [LOINC: 2713-6] is not as good as the direct measure [LOINC: 20564-1].,Oxygen saturation.calc from oxygen partial pressure,MFr,Pt,Bld,Qn,,Bld,Bld Gas,
,11558-4,pH of Blood,Chem,Chem-Bld Gas,97,[pH],pH,,pH,LsCnc,Pt,Bld,Qn,,Bld,Bld Gas,
,49701-6,pH of Blood adjusted to patients actual temperature,Chem,Chem-Bld Gas,1223,[pH],pH,,pH^^adjusted to patients actual temperature,LsCnc,Pt,Bld,Qn,,Bld,Bld A Gas,
,1922-4,Base deficit in Arterial blood,Chem,Chem-Bld Gas,498,mmol/L,mmol/L,,Base deficit,SCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,1925-7,Base excess in Arterial blood,Chem,Chem-Bld Gas,389,mmol/L,mmol/L,,Base excess,SCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,1960-4,Bicarbonate [Moles/volume] in Arterial blood,Chem,Chem-Bld Gas,310,mmol/L,mmol/L,,Bicarbonate,SCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,Chem,Chem-Bld Gas,205,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,BldA,Qn,,BldA,Bld A Gas,
,2026-3,"Carbon dioxide, total [Moles/volume] in Arterial blood",Chem,Chem-Bld Gas,938,mmol/L,mmol/L,,Carbon dioxide,SCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,2030-5,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,Chem,Chem-Bld Gas,1815,%,%,,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,BldA,Bld A Gas,
,2714-4,Fractional oxyhemoglobin in Arterial blood,Chem,Chem-Bld Gas,939,%,%,Fractional oxygen saturation arterial blood (HbO2),Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,BldA,,
,30313-1,Hemoglobin [Mass/volume] in Arterial blood,HEM/BC,Chem-Bld Gas,188,g/dL,g/dL,,Hemoglobin,MCnc,Pt,BldA,Qn,,BldA,Bld Gas,
,2615-3,Methemoglobin/Hemoglobin.total in Arterial blood,Chem,Chem-Bld Gas,1173,%,%,,Methemoglobin/Hemoglobin.total,MFr,Pt,BldA,Qn,,BldA,Bld A Gas,
"Pulse Oximetry
Because the sensors are placed on the skin (e.g. fingertip, ear lobe) some believe that pulse oximetry is measuring the oxygen saturation of capillary blood. That is a misconception. Pulse oximetry measures the oxygen saturation of arterial blood, because it measures the saturation at the peak of its surge into the capillaries and small arterioles. It correlates directly with an arterial blood saturation measurement.

Realize that if the patient has significant concentrations of carboxyhemoglobin, methemoglobin or sulfhemoglobin, pulse oximetry will overestimate the effective oxygen saturation because it completely ignores the presence of those dyshemoglobins. You need a co-oximeter to take those into account.",,,,,,,,,,,,,,,,,
,2703-7,Oxygen [Partial pressure] in Arterial blood,Chem,Chem-Bld Gas,193,mm[Hg],mmHg,,Oxygen,PPres,Pt,BldA,Qn,,BldA,Bld A Gas,
,2708-6,Oxygen saturation in Arterial blood,Chem,Chem-Bld Gas,451,%,%,Functional oxygen saturation (SO2),Oxygen saturation,MFr,Pt,BldA,Qn,,BldA,Bld A Gas,
,2744-1,pH of Arterial blood,Chem,Chem-Bld Gas,187,[pH],pH,,pH,LsCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,33254-4,pH of Arterial blood adjusted to patients actual temperature,Chem,Chem-Bld Gas,669,[pH],pH,,pH^^adjusted to patients actual temperature,LsCnc,Pt,BldA,Qn,,BldA,Bld A Gas,
,1926-5,Base excess in Capillary blood,Chem,Chem-Bld Gas,1953,mmol/L,mmol/L,,Base excess,SCnc,Pt,BldC,Qn,,BldC,Bld C Gas,
,1961-2,Bicarbonate [Moles/volume] in Capillary blood,Chem,Chem-Bld Gas,1086,mmol/L,mmol/L,,Bicarbonate,SCnc,Pt,BldC,Qn,,BldC,Bld C Gas,
,33022-5,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor,Chem,Chem-Bld Gas,866,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,BldC,Qn,Transcutaneous CO2 monitor,BldC,Bld C Gas,
,33437-5,Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor,Chem,Chem-Bld Gas,1155,mm[Hg],mmHg,,Oxygen,PPres,Pt,BldC,Qn,Transcutaneous O2 monitor,BldC,Bld C Gas,
,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,HEMODYN.MOLEC,Chem-Bld Gas,1874,%,%,Functional oxygen saturation (SO2),Oxygen saturation,MFr,Pt,BldA,Qn,Pulse oximetry,BldC,BLD C GAS,
,59412-7,Oxygen saturation in Arterial blood by Pulse oximetry --post exercise,HEMODYN.MOLEC,Chem-Bld Gas,1648,%,%,Functional oxygen saturation (SO2),Oxygen saturation^post exercise,MFr,Pt,BldA,Qn,Pulse oximetry,BldC,Oximetry,
,59417-6,Oxygen saturation in Arterial blood by Pulse oximetry --resting,HEMODYN.MOLEC,Chem-Bld Gas,1647,%,%,Functional oxygen saturation (SO2),Oxygen saturation^resting,MFr,Pt,BldA,Qn,Pulse oximetry,BldC,Oximetry,
,2745-8,pH of Capillary blood,Chem,Chem-Bld Gas,865,[pH],pH,,pH,LsCnc,Pt,BldC,Qn,,BldC,Oximetry,
,28640-1,Bicarbonate [Moles/volume] in Arterial cord blood,Chem,Chem-Bld Gas,1229,mmol/L,mmol/L,,Bicarbonate,SCnc,Pt,BldCoA,Qn,,BldCoA,Oximetry,
,28644-3,Carbon dioxide [Partial pressure] in Arterial cord blood,Chem,Chem-Bld Gas,1216,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,BldCoA,Qn,,BldCoA,Bld CoA Gas *,
,28648-4,Oxygen [Partial pressure] in Arterial cord blood,Chem,Chem-Bld Gas,1218,mm[Hg],mmHg,,Oxygen,PPres,Pt,BldCoA,Qn,,BldCoA,Bld CoA Gas *,
,28642-7,Oxygen saturation (SO2) in Arterial cord blood,Chem,Chem-Bld Gas,1285,%,%,Functional oxygen saturation (SO2),Oxygen saturation,MFr,Pt,BldCoA,Qn,,BldCoA,Bld CoA Gas *,
,28646-8,pH of Arterial cord blood,Chem,Chem-Bld Gas,1087,[pH],pH,,pH,LsCnc,Pt,BldCoA,Qn,,BldCoA,Bld CoA Gas *,
,28637-7,Base deficit in Venous cord blood,Chem,Chem-Bld Gas,1047,mmol/L,mmol/L,,Base deficit,SCnc,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,28641-9,Bicarbonate [Moles/volume] in Venous cord blood,Chem,Chem-Bld Gas,1213,mmol/L,mmol/L,,Bicarbonate,SCnc,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,28645-0,Carbon dioxide [Partial pressure] in Venous cord blood,Chem,Chem-Bld Gas,1204,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,28649-2,Oxygen [Partial pressure] in Venous cord blood,Chem,Chem-Bld Gas,1207,mm[Hg],mmHg,,Oxygen,PPres,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,28643-5,Oxygen saturation (SO2) in Venous cord blood,Chem,Chem-Bld Gas,1272,%,%,Functional oxygen saturation (SO2),Oxygen saturation,MFr,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,28647-6,pH of Venous cord blood,Chem,Chem-Bld Gas,1082,[pH],pH,,pH,LsCnc,Pt,BldCoV,Qn,,BldCoV,Bld CoV Gas *,
,1924-0,Base deficit in Venous blood,Chem,Chem-Bld Gas,1187,mmol/L,mmol/L,,Base deficit,SCnc,Pt,BldV,Qn,,BldV,Bld V Gas *,
,1927-3,Base excess in Venous blood,Chem,Chem-Bld Gas,966,mmol/L,mmol/L,,Base excess,SCnc,Pt,BldV,Qn,,BldV,Bld V Gas *,
,14627-4,Bicarbonate [Moles/volume] in Venous blood,Chem,Chem-Bld Gas,781,mmol/L,mmol/L,,Bicarbonate,SCnc,Pt,BldV,Qn,,BldV,Bld V Gas *,
,2021-4,Carbon dioxide [Partial pressure] in Venous blood,Chem,Chem-Bld Gas,523,mm[Hg],mmHg,,Carbon dioxide,PPres,Pt,BldV,Qn,,BldV,Bld V Gas *,
,2027-1,"Carbon dioxide, total [Moles/volume] in Venous blood",Chem,Chem-Bld Gas,1983,mmol/L,mmol/L,,Carbon dioxide,SCnc,Pt,BldV,Qn,,BldV,Bld V Gas *,
,48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",Chem,Chem-Bld Gas,688,mmol/L,mmol/L,,Carbon dioxide,SCnc,Pt,BldV,Qn,Calculated,BldV,Bld V Gas *,
,2032-1,Carboxyhemoglobin/Hemoglobin.total in Venous blood,Chem,Chem-Bld Gas,1677,%,%,,Carboxyhemoglobin/Hemoglobin.total,MFr,Pt,BldV,Qn,,BldV,Bld V Gas *,
,2716-9,Fractional oxyhemoglobin (HbO2) in Venous blood,Chem,Chem-Bld Gas,1956,%,%,Fractional oxygen saturation (HbO2),Oxyhemoglobin/Hemoglobin.total,MFr,Pt,BldV,Qn,,BldV,Bld V Gas *,
,30350-3,Hemoglobin [Mass/volume] in Venous blood,HEM/BC,Chem-Bld Gas,1986,g/dL,g/dL,,Hemoglobin,MCnc,Pt,BldV,Qn,,BldV,BLD GAS,
,2705-2,Oxygen [Partial pressure] in Venous blood,Chem,Chem-Bld Gas,665,mm[Hg],mmHg,,Oxygen,PPres,Pt,BldV,Qn,,BldV,Bld V Gas *,
,2711-0,Oxygen saturation (SO2) in Venous blood,HEMODYN.MOLEC,Chem-Bld Gas,1949,%,%,Functional oxygen saturation (SO2),Oxygen saturation,MFr,Pt,BldV,Qn,,BldV,BLD V GAS,
,2746-6,pH of Venous blood,Chem,Chem-Bld Gas,519,[pH],pH,,pH,LsCnc,Pt,BldV,Qn,,BldV,Bld V Gas *,
,3150-0,Inhaled oxygen concentration (FIO2),CLIN,Chem-Bld Gas,385,%,%,Percent oxygen inhaled (FIO2),Oxygen inhaled,VFr,Pt,Inhl gas,Qn,,Inhl gas,BLD GAS,
,3151-8,Inhaled oxygen flow rate,CLIN,Chem-Bld Gas,174,L/min,L/min,Liters per minute of oxygen inhaled,Oxygen inhaled,VRat,Pt,Inhl gas,Qn,,Inhl gas,BLD GAS,
,19993-5,Oxygen/Inspired gas Inhaled gas by Gas dilution.rebreath,PULM,Chem-Bld Gas,598,%,%,Ventilator related term,Oxygen/Inspired gas,VFr,Pt,Inhl gas,Qn,Gas dilution.rebreathing,Inhl gas,Chem.BLD GAS,
,19941-4,Oxygen gas flow Oxygen delivery system,PULM,Chem-Bld Gas,898,L/min,L/min,Liter per minute setting,Gas flow.oxygen,VRat,Pt,Oxygen delivery system,Qn,,Oxygen delivery system,Chem.BLD GAS,
,19942-2,Oxygen gas flow setting Oxymizer,PULM,Chem-Bld Gas,1287,L/min,L/min,Liter per minute setting,Gas flow.oxygen setting,VRat,Pt,Oxymiser,Qn,,Oxygen delivery system,Chem.BLD GAS,
,19835-8,Breath rate setting Ventilator synchronized intermittent mandatory,PULM,Chem-Bld Gas,1319,{breaths}/min,breaths/min,,Breaths setting,NRat,Pt,Ventilator.synchronized intermittent mandatory,Qn,,Ventilator,Chem.BLD GAS,
,19839-0,Breath rate spontaneous --on ventilator,PULM,Chem-Bld Gas,1196,{breaths}/min,breaths/min,,Breaths.spontaneous^on ventilator,NRat,Pt,Respiratory system,Qn,,Ventilator,Chem.BLD GAS,
,20124-4,Ventilation mode [Identifier] Ventilator,PULM,Chem-Bld Gas,1079,,,,Ventilation mode,Prid,Pt,Ventilator,Nom,*,Ventilator,Chem.BLD GAS,
Chem-challenge,,,,,,,,,,,,,,,,,
"Just a handful of the over 3600 LOINC challenge tests made it into the Top 2000+. The few challenge tests that do appear include four varieties of glucose tolerance tests. Three of these are based on the different oral doses of glucose (50 grams, 75 grams, and 100 grams) used in these tests. One of them does not specify the dose in the test name and is used by labs that report the dose as a separate variable.",,,,,,,,,,,,,,,,,
,26528-0,Cortisol [Mass/volume] in Serum or Plasma --1 hour post dose corticotropin,CHAL,Chem-challenge,1638,ug/dL,ug/dL,,Cortisol^1H post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Cortisol P ACTH,
,26530-6,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post dose corticotropin,CHAL,Chem-challenge,1645,ug/dL,ug/dL,,Cortisol^30M post dose corticotropin,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,Cortisol P ACTH,
,1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,CHAL,Chem-challenge,332,mg/dL,mg/dL,,Glucose^post CFst,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,,
,20438-8,Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose,CHAL,Chem-challenge,928,mg/dL,mg/dL,,Glucose^1H post dose glucose,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,GTT - dose not specified,
,10449-7,Glucose [Mass/volume] in Serum or Plasma --1 hour post meal,CHAL,Chem-challenge,1362,mg/dL,mg/dL,,Glucose^1H post meal,MCnc,Pt,Ser/Plas,Qn,,Ser/Plas,GTT post meal,
